amount_variable,n,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
amount_master_cny,12102,88096587.89834662,3674414861.074442,0.0,830.0026,5000.0,40000.0,155049.225,806496.25,16288750.249999948,199611490.0,347440000000.0
llm_top_case_amount_cny,11684,87432509.51361234,3736465807.9624643,0.0,1000.0,6000.0,40421.97,157221.985,800000.0,15564182.00050001,152408702.6674003,347440000000.0
regex_text_amount_max_cny,12100,491850639.7113586,23562802675.130806,7.0,2389.4330000000004,10000.0,70000.0,300000.0,1791250.0,48528298.69949994,1363525416.000005,2444000000000.0
