model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,error,odds_ratio,pseudo_rsquared
m1_lpm_baseline,Intercept,0.6765916134831361,0.046172916686797086,1.280826617451067e-48,0.5860943597158453,0.7670888672504269,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(court_level_group)[T.基层法院],0.018812666471036257,0.013854952430598389,0.17451771541788774,-0.008342541300452266,0.045967874242524784,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(court_level_group)[T.最高人民法院],-0.11183388951307731,0.11806382451606257,0.3435203271234828,-0.34323473344161703,0.1195669544154624,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(court_level_group)[T.未分类],-8.578856076176116e-18,8.973834062336917e-17,0.9238394094853288,-1.8446277173036737e-16,1.6730505957801513e-16,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(court_level_group)[T.高级法院],0.09281961952563136,0.10679107369083035,0.3847540410242378,-0.11648703877875902,0.30212627783002177,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.买卖合同纠纷],-0.26680925916840603,0.035314150352266246,4.1787195732814204e-14,-0.33602372200348035,-0.1975947963333317,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.侵害作品信息网络传播权纠纷],-0.2500803149999853,0.1992403786723772,0.20941747452359194,-0.6405842814639668,0.14042365146399632,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.其他],-0.4178988588205461,0.030954368956059904,1.5535927190070332e-41,-0.4785683071385882,-0.357229410502504,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.合同纠纷],-0.2739837286899897,0.03104847016380015,1.1006061554525445e-18,-0.33483761198610446,-0.21312984539387497,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.委托合同纠纷],-0.2961436954442323,0.036089390752099465,2.289879361725393e-16,-0.36687760154234017,-0.22540978934612446,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.委托理财合同纠纷],-0.1308188239656964,0.04596114284404355,0.004423164280538826,-0.2209010086283226,-0.04073663930307023,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.帮助信息网络犯罪活动罪],0.21236961970411505,0.029143880843486687,3.1708140206157526e-13,0.15524866288115433,0.26949057652707575,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.开设赌场罪],0.21203541714468552,0.048424206914964546,1.1938547351736262e-05,0.11712571561143957,0.30694511867793145,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.掩饰、隐瞒犯罪所得、犯罪所得收益罪],0.2165460791921315,0.028631242739979534,3.9303308532708377e-14,0.16042987458914773,0.2726622837951153,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.民间借贷纠纷],-0.414045443507735,0.028950234077276392,2.126952696600568e-46,-0.4707868596432009,-0.3573040273722691,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.民间委托理财合同纠纷],-0.01673880051349026,0.04814217902745715,0.7280691650827888,-0.1110957375445858,0.07761813651760527,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.盗窃罪],0.2809386728103676,0.029383470818096554,1.1649748955051133e-21,0.2233481282661147,0.33852921735462055,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.组织、领导传销活动罪],0.2337304286956989,0.030511639927139463,1.853992345597322e-14,0.17392871332925125,0.29353214406214656,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.网络服务合同纠纷],-0.6862772050312295,0.03384046876532775,1.9400359085155214e-91,-0.7526033050312245,-0.6199511050312344,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.诈骗罪],0.24148729147526962,0.02864645874624001,3.459082169947445e-17,0.18534126404802675,0.2976333189025125,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.赌博罪],0.2960714570942722,0.03452933584053107,9.952652587144639e-18,0.22839520243674322,0.36374771175180115,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.走私、贩卖、运输、制造毒品罪],0.2402112317364929,0.06659797743608499,0.00030989517361172225,0.10968159451855514,0.37074086895443065,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,C(cause_group)[T.非法吸收公众存款罪],0.25833652077874486,0.0329751613907282,4.715513267114367e-15,0.19370639206852186,0.32296664948896786,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,post2021,0.0766915737405968,0.01250996584481816,8.763730006740989e-10,0.05217249123692702,0.10121065624426659,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,log_amount_master,0.0025108619455579506,0.003175200160335375,0.4290765806209532,-0.00371241601240519,0.008734139903521091,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,amount_llm_regex_conflict_flag,-0.055038092383940806,0.0237160179239437,0.020302290175657496,-0.10152063337157684,-0.008555551396304775,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m1_lpm_baseline,amount_regex_fallback_flag,0.18090666833421845,0.03807427879340669,2.019988856121453e-06,0.1062824531618042,0.2555308835066327,5709,0.17213164100393596,0.47398843930635837,"Baseline LPM: 2021 policy period, master amount, amount-quality flags, court level, cause group.",,,
m2_lpm_amount_interaction,Intercept,0.6921148268388808,0.055222625127906835,4.915466665154326e-36,0.5838804704564269,0.8003491832213347,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(court_level_group)[T.基层法院],0.018851609151808592,0.013858418447095762,0.17373495045011045,-0.008310391887184607,0.04601361019080179,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(court_level_group)[T.最高人民法院],-0.11142800110097398,0.11813688631500395,0.34557302949843627,-0.3429720435240845,0.12011604132213655,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(court_level_group)[T.未分类],1.1036406038459077e-15,2.853562994118675e-16,0.00010991716102516979,5.443525342370193e-16,1.6629286734547962e-15,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(court_level_group)[T.高级法院],0.09471292819494907,0.10685264794258893,0.3754083659308515,-0.11471441342526313,0.3041402698151613,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.买卖合同纠纷],-0.26745182867855505,0.035359675977431254,3.916052904639292e-14,-0.3367555200993264,-0.19814813725778366,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.侵害作品信息网络传播权纠纷],-0.25178687095166674,0.19907864007825507,0.20595706785271617,-0.6419738355962589,0.13840009369292539,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.其他],-0.4185379671417232,0.031035400489468203,1.895345218229341e-41,-0.47936623434685766,-0.35770969993658874,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.合同纠纷],-0.2744034491813844,0.031085724141019407,1.0721943433333566e-18,-0.33533034893112973,-0.21347654943163902,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.委托合同纠纷],-0.2964086159186036,0.036103878846903636,2.2140440025340234e-16,-0.3671709181607322,-0.225646313676475,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.委托理财合同纠纷],-0.13133434333937785,0.045994949962246685,0.0042981587489730015,-0.22148278873610328,-0.04118589794265243,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.帮助信息网络犯罪活动罪],0.21207828023303688,0.029427254813352215,5.725432288822527e-13,0.1544019206349836,0.26975463983109016,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.开设赌场罪],0.21267063884289097,0.04818078706579156,1.0147168251205204e-05,0.11823803144714624,0.3071032462386357,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.掩饰、隐瞒犯罪所得、犯罪所得收益罪],0.2164002577771159,0.028702725097758678,4.722733943477241e-14,0.160143950327355,0.2726565652268768,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.民间借贷纠纷],-0.4144502839571619,0.028979609185019146,2.143132173631823e-46,-0.47124927424584556,-0.3576512936684782,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.民间委托理财合同纠纷],-0.017490792860134427,0.04819461006742444,0.716664568941487,-0.11195049284123784,0.07696890712096899,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.盗窃罪],0.27991887229132545,0.0298930342811225,7.67616901865098e-21,0.22132960171170418,0.3385081428709467,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.组织、领导传销活动罪],0.2350412953729439,0.0305578154009248,1.4520215638902054e-14,0.1751490777409079,0.2949335130049799,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.网络服务合同纠纷],-0.6878743327770506,0.0340074780068346,5.647505114383255e-91,-0.7545277648754843,-0.6212209006786168,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.诈骗罪],0.24123926161188677,0.02869134980192519,4.1676482018181076e-17,0.18500524933227297,0.2974732738915006,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.赌博罪],0.29462989144408697,0.035730982880334036,1.6408372870538177e-16,0.22459845186641503,0.3646613310217589,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.走私、贩卖、运输、制造毒品罪],0.24052800782535533,0.0655296609131217,0.0002420564173190188,0.11209223251651468,0.368963783134196,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,C(cause_group)[T.非法吸收公众存款罪],0.26001486115245365,0.03309365028701925,3.936278271688957e-15,0.1951524984729323,0.324877223831975,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,post2021,0.07700697913241437,0.016557237928887823,3.30400399071669e-06,0.04455538910833368,0.10945856915649507,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,high_amount,0.008915790946519897,0.024029485486654574,0.7106111284353982,-0.038181135174351004,0.0560127170673908,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,post2021:high_amount,-0.000729963575334469,0.02490070048831937,0.9766133784905915,-0.04953443972225937,0.048074512571590435,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,log_amount_master,0.0009001767520591989,0.004475210057404823,0.8405833396701619,-0.007871073783705683,0.00967142728782408,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,amount_llm_regex_conflict_flag,-0.054868229512326824,0.02373832909390376,0.02081203644969969,-0.10139449958953753,-0.00834195943511612,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m2_lpm_amount_interaction,amount_regex_fallback_flag,0.17945361982826769,0.03819465745375138,2.6221285251578224e-06,0.10459346681707066,0.2543137728394647,5709,0.17216231256555004,0.47398843930635837,LPM with post-2021 by high-amount interaction.,,,
m3_lpm_activity_year,Intercept,0.5864365769694784,0.06871777695054875,1.4138941552959094e-17,0.45175220904874613,0.7211209448902106,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.交易所炒币],0.04246210691245004,0.07254700910160798,0.558342841117544,-0.09972741811280111,0.18465163193770118,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.其他],-0.01684359076961763,0.05925493131543796,0.7762139310256961,-0.13298112205427065,0.09929394051503539,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.发币/ICO],0.3434237021616285,0.05717655869344798,1.897201946520135e-09,0.2313597063625299,0.4554876979607271,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.场外交易(OTC)],0.10390437723848296,0.06144959351856663,0.09085820507961657,-0.016534612922533568,0.2243433673994995,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.委托理财/代投],0.07447942456311386,0.05773699460908988,0.19705846670715155,-0.03868300544628556,0.18764185457251328,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.技术服务],-0.16042284484867617,0.06637582543308525,0.01565389194892104,-0.290517072141641,-0.03032861755571134,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.挖矿],-0.03533689020255817,0.05796818900234808,0.5421327303841634,-0.14895245289617126,0.07827867249105491,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.未分类],-0.228524929999528,0.05640952969773884,5.096086724468872e-05,-0.3390855765919387,-0.11796428340711727,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.虚拟货币交易],0.15164071431551682,0.07414875610628335,0.04084620574100614,0.006311822848757032,0.2969696057822766,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.虚拟货币借贷],-0.10099269677099147,0.058445764514461915,0.08399308441004802,-0.21554429026824595,0.013558896726262995,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(activity_group)[T.虚拟货币投资],0.047011929818948237,0.06534231675731739,0.47185050179100085,-0.08105665769180188,0.17508051732969837,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(court_level_group)[T.基层法院],0.019065187236428718,0.013274844740800732,0.15094854160175417,-0.006953030355901668,0.045083404828759104,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(court_level_group)[T.最高人民法院],-0.04305759182292545,0.10048006144135349,0.6682734747374147,-0.23999489341235009,0.15387970976649917,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(court_level_group)[T.未分类],-1.8471087278481664e-16,1.0345537882569675e-16,0.07419389013610565,-3.8747968929013e-16,1.8057943720496718e-17,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(court_level_group)[T.高级法院],0.11599553226241267,0.09174887390269552,0.20613241606522292,-0.06382895620897742,0.29582002073380276,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(cause_group)[T.买卖合同纠纷],-0.19785912658816152,0.0366852388973608,6.91267461953156e-08,-0.26976087359123657,-0.12595737958508646,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(cause_group)[T.侵害作品信息网络传播权纠纷],0.055192607170540565,0.19478731764035312,0.7769100450442671,-0.3265835200497151,0.43696873439079625,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(cause_group)[T.其他],-0.2583111032649623,0.03224673521792287,1.1428246794236936e-15,-0.3215135429110905,-0.1951086636188341,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(cause_group)[T.合同纠纷],-0.24806477237454375,0.031131575717155358,1.60912194615045e-15,-0.30908153956214995,-0.18704800518693754,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(cause_group)[T.委托合同纠纷],-0.27312934167552555,0.036719322527705024,1.0198913390625e-13,-0.3450978913665377,-0.20116079198451342,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(cause_group)[T.委托理财合同纠纷],-0.1352228218594023,0.047646215032181506,0.004538863532037952,-0.228607687322129,-0.041837956396675605,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
m3_lpm_activity_year,C(cause_group)[T.帮助信息网络犯罪活动罪],0.27693658222691553,0.04110695496611144,1.6171652224846045e-11,0.19636843097922718,0.3575047334746039,5710,0.27332847701754204,0.4740805604203152,LPM with activity group and year fixed effects.,,,
