model,term,coef_logit,std_err,p_value,ci_low,ci_high,nobs,note
logit_robustness,Intercept,-0.6295559041812405,,,,,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(court_level_code)[T.High],0.5224471798026121,0.506320498677563,0.3021420466402892,-0.4699227622397715,1.5148171218449957,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(court_level_code)[T.Intermediate],-0.03727751435214487,0.06686586251183119,0.5771879429552373,-0.16833219667054097,0.09377716796625121,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(court_level_code)[T.Supreme],-0.11892773292543425,2.0070115208296522e+17,1.0,-3.933670297383079e+17,3.933670297383079e+17,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause01],0.5998235884624328,,,,,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause02],0.07501426544298252,0.16768114582315452,0.654613309051534,-0.2536347412568093,0.4036632721427743,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause03],0.07593241680282188,0.1326255932602844,0.5669615076515722,-0.1840089694155937,0.3358738030212374,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause04],1.7360539311336751,0.1270415187689272,1.6374370934115804e-42,1.4870571298053086,1.9850507324620417,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause05],-0.7203054562100589,0.3564370682186471,0.043295409314722734,-1.4189092726736536,-0.02170163974646422,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause06],0.5219655554244309,0.19739956212810153,0.0081882255513888,0.1350695230893751,0.9088615877594868,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause07],0.9363408547957626,0.23754499218594324,8.0892272134229e-05,0.47076122540346527,1.40192048418806,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause08],-0.5866782635402968,0.3999465570252431,0.1424055333056655,-1.3705591110505684,0.1972025839699746,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause09],-0.23418380906209726,0.3903333315312489,0.5485338781596165,-0.9992230808288777,0.5308554627046832,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause10],2.1653230332467213,0.2712907230525822,1.4449595862950422e-15,1.63360298672383,2.6970430797696126,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause11],-0.888406927024822,0.5167217872938059,0.08555723886129575,-1.9011630201478482,0.12434916609820412,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause12],-0.833139480678081,0.6916892172125134,0.2283964833959613,-2.18882543490931,0.5225464735531478,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause13],0.7122857139551062,0.37911274516658533,0.060268676706703016,-0.03076161265151245,1.4553330405617249,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause14],0.6659668547576546,0.41101260971577236,0.10516621739331984,-0.1396030574770767,1.471536766992386,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
