group,field_count,active_field_count,tp,fp,fn,precision,recall,f1,macro_f1,macro_f1_active,exact_match_rate
primary,3,3,49,4,18,0.9245283018867925,0.7313432835820896,0.8166666666666667,0.7992961287078933,0.7992961287078933,0.7
secondary,16,16,248,9,21,0.9649805447470817,0.9219330855018587,0.9429657794676806,0.933751022913257,0.933751022913257,0.934375
primary_secondary,19,19,297,13,39,0.9580645161290322,0.8839285714285714,0.9195046439628484,0.912521302775568,0.912521302775568,0.8973684210526316
