group,field_count,active_field_count,tp,fp,fn,precision,recall,f1,macro_f1,macro_f1_active,exact_match_rate
primary,3,3,61,6,15,0.9104477611940298,0.8026315789473685,0.8531468531468532,0.8631578947368421,0.8631578947368421,0.7666666666666667
secondary,16,16,244,29,76,0.8937728937728938,0.7625,0.8229342327150084,0.814754132928475,0.814754132928475,0.8375
primary_secondary,19,19,305,35,91,0.8970588235294118,0.7702020202020202,0.828804347826087,0.822396832161375,0.822396832161375,0.8263157894736842
