model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,error,relative_year,calendar_year
m12_event_study,event_m6,-0.3151257607682713,0.04839873163171058,7.463551816799804e-11,-0.40998553166384355,-0.22026598987269908,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,-6,2015
m12_event_study,event_m5,-0.11085377892692141,0.06335198547643138,0.08015153717960974,-0.23502138880983148,0.013313830955988662,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,-5,2016
m12_event_study,event_m4,-0.011129396122403868,0.04006345001432682,0.7811703039614062,-0.08965231524690515,0.06739352300209742,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,-4,2017
m12_event_study,event_m3,-0.05505072755522333,0.029552057678013822,0.0624849117413695,-0.1129716962731808,0.0028702411627341343,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,-3,2018
m12_event_study,event_m2,0.041697637578823554,0.02349592779768564,0.0759515520762794,-0.004353534687993807,0.08774880984564092,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,-2,2019
m12_event_study,event_p0,0.05041043335952855,0.020897988110061022,0.015855942986125464,0.009451129314462674,0.09136973740459442,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,0,2021
m12_event_study,event_p1,0.11925236158069455,0.022703213178215807,1.499144784858944e-07,0.07475488141805643,0.16374984174333268,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,1,2022
m12_event_study,event_p2,0.12991514089234346,0.024129827843111896,7.284602317777871e-08,0.08262154736669233,0.1772087344179946,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,2,2023
m12_event_study,event_p3,0.17069031042472804,0.023441909597330734,3.3033276597050795e-13,0.12474501188511597,0.21663560896434012,5119,0.23587848425950053,0.42312951748388355,Event study around 2021; 2020 is omitted reference year.,,3,2024
