group,field_count,active_field_count,tp,fp,fn,precision,recall,f1,macro_f1,macro_f1_active,exact_match_rate
primary,3,3,25,5,11,0.8333333333333334,0.6944444444444444,0.7575757575757577,0.7507936507936508,0.7507936507936508,0.6333333333333333
secondary,16,16,126,11,41,0.9197080291970803,0.7544910179640718,0.8289473684210527,0.8569898164952612,0.8569898164952612,0.80625
primary_secondary,19,19,151,16,52,0.9041916167664671,0.7438423645320197,0.8162162162162162,0.8402220008581648,0.8402220008581648,0.7789473684210526
