group,field_count,active_field_count,tp,fp,fn,precision,recall,f1,macro_f1,macro_f1_active,exact_match_rate
primary,3,3,60,7,20,0.8955223880597015,0.75,0.816326530612245,0.8255917571707045,0.8255917571707045,0.6666666666666666
secondary,16,16,243,16,46,0.9382239382239382,0.8408304498269896,0.8868613138686132,0.8852273245890268,0.8852273245890268,0.8784722222222222
primary_secondary,19,19,303,23,66,0.9294478527607362,0.8211382113821138,0.8719424460431655,0.8758111823650812,0.8758111823650812,0.8450292397660819
