model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,error
m0_post2017_baseline,Intercept,0.1725082569375402,0.06045749966023566,0.004325677920316396,0.05401373500813576,0.29100277886694464,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(court_level_group)[T.基层法院],0.01494878902424644,0.014771271052387801,0.3115295494861837,-0.01400237024431271,0.04389994829280559,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(court_level_group)[T.最高人民法院],-0.06985812490591929,0.12169932018156307,0.5659527041705792,-0.30838440940479145,0.1686681595929529,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(court_level_group)[T.高级法院],-0.01829936987411442,0.11555943785943192,0.8741773772943222,-0.24479170615229537,0.2081929664040665,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.不当得利纠纷],0.4216608074610892,0.029760542213030195,1.4363226954113017e-45,0.363331216563166,0.47999039835901236,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.不正当竞争纠纷],0.32927227697977524,0.1811346050320395,0.06908981776101045,-0.025745025236909802,0.6842895791964603,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.与公司有关的纠纷],-0.07965512103249961,0.21802685230882932,0.7148535467020449,-0.5069798992204386,0.3476696571554394,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.专利行政管理],4.0419027152003337e-13,8.318626829966405e-14,1.1806472503857884e-06,2.411481816444058e-13,5.672323613956609e-13,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.业主撤销权纠纷],0.18904183990381873,0.24550520596443853,0.44129305170349475,-0.29213952180356884,0.6702232016112063,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.中介合同纠纷],-0.334945613171862,0.013086553893029996,1.7503297082045067e-144,-0.36059478748394325,-0.30929643885978075,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.买卖合同纠纷],0.15792144134802194,0.02604001927811152,1.3230962346646552e-09,0.10688394140619467,0.2089589412898492,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.互易纠纷],-0.3392557682348589,0.01387649201145797,5.2543986201973326e-132,-0.3664531928090743,-0.31205834366064356,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.交通肇事罪],2.9935291191770665e-14,5.805909657169209e-15,2.5227602438864525e-07,1.8555917366225723e-14,4.1314665017315606e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
